gismu,標準,タグ,内容語,キーワード,原文,lo go'i,lo se go'i,lo te go'i,lo ve go'i,lo xe go'i,la go'i,rafsi,rafsi2,語法,使用例,参照,Tips,ロジバンたんのメモ,覚え方,上位概念,PS分類,@1型,@2型,@3型,@4型,@5型
lanzu,TRUE,,@1《群》は@2〈成員〉の@3〈基準〉において結ばれている家族［部族］である,家族、部族,@1 (mass) is a family with members including @2 bonded/tied/joined according to standard @3.,,,,,,,-laz-,,,,,,,,,,,,,,
larcu,TRUE,,@1〈創作物・創作過程〉は@2〈芸術様式・芸術流派〉の実践［応用］である；@1は芸術的である,芸術,@1 (process) is an art [creative application] of craft/skill @2 (idea/activity).,,,,,,,-lar-,,,,,,,,,,,,,,
larva,FALSE,,@1is an organism@2at its larva stage of development,,@1 is an organism @2 at its larva stage of development,,,,,,,,,"See also {sovda}, {altrici}, {inmago}",,,,,,,,,,,,
lasna,TRUE,,@1〈者〉は@2を@3に@4〈留め具〉で留める［つなげる、くっつける、縛る］,留める、つなげる、くっつける、縛る,@1 (agent) fastens/connects/attaches/binds/lashes @2 to @3 with fastener @4.,,,,,,,-la'a-,,個体としての x2 と x3 の分離は維持される。「lo cradi cu ve lasna sei pruce'u selsanga／ラヂオでつながつて故郷の唄」（山頭火『行乞記（二）』） ,,,,,,,,,,,,
lastu,TRUE,元素,@1は@2〈成分〉の真鍮（銅／亜鉛合金）である,真鍮,@1 is a quantity of/contains/is made of brass [copper/zinc alloy] of composition including @2.,,,,,,,,,,,,,,,,,,,,,
latmo,TRUE,地域,@1は@2《属性》に関してラテン［ローマ、ロマンス］的［らしい、っぽい、風］；@1は@2《属性》に関してラテン［ローマ、ロマンス］系の言語［文化、民族、国民性、地理など］を反映している、満たしている,ラテン、ローマ、ロマンス,@1 reflects Latin/Roman/Romance culture/empire/language in aspect @2.,,,,,,,-la'o-,,,,,,,,,DC,D,C,-,-,-
latna,TRUE,生物、植物,@1は@2〈種類〉のハス属の植物,ハス,"@1 is a lotus, plant/flower/herb of species/strain @2 symbolizing @3 to culture/religion @4.",,,,,,,,,「スイレン属」も。仏教、ギリシア神話、古代エジプトなどで広く象徴的であることから、文化をx3、象徴内容をx4とする方法も。 ,,,,,,,,,,,,
lazni,TRUE,,@1〈者〉は@2〈動作・仕事・努力・こと〉に関して怠惰［怠ける］；@1は@2を怠る,怠ける、怠る、怠惰,@1 (person) is lazy/avoiding work/effort concerning action @2.,,,,,,,,,,,,,,,,,,,,,
lebna,TRUE,,@1は@2《もの・属性》を@3〈者〉から取る［得る、奪う、盗む、取り除く］、没収［着服］する,取る、得る、奪う、盗む、取り除く、没収、着服,@1 takes/gets/gains/obtains/seizes/[removes] @2 (object/property) from @3 (possessor).,,,,,,,-leb-   ,-le'a-,所有権の転移が含意される。 ,,,,,,,,,,,,
lelxe,FALSE,,@1is a lily [Lilium] of species/strain x/2,,@1 is a lily [Lilium] of species/strain @2,,,,,,,,,cf. {rozgu}. lel- is short rafsi,,,,,,,,,,,,
lenga,FALSE,,@1is a speakable language used by persons x/2,,@1 is a speakable language used by persons @2,,,,,,,,,"A narrower term than {bangu}, is limited to speakable, usable in dialogues languages used by persons ({lo} {prenu}). Doesn't include languages with information transferred one-way (languages of road signs), doesn't include computer programming languages that are not speakable between two persons.",,,,,,,,,,,,
lenjo,TRUE,,@1は@2〈光・音・電波〉を@3〈焦点〉に合わせるレンズ［収束器］である,レンズ、収束器,@1 is a lens/glass [focussing shape/form] focussing @2 to focus/foci @3 by means/material @4.,,,,,,,-len-   ,-le'o-,光学的／視覚的な集光に限らない。 ,,,,,,,,,,,,
lenku,TRUE,,@1は@2〈基準〉において冷たい［涼しい］,冷たい、涼しい,@1 is cold/cool by standard @2.,,,,,,,-lek-,,,,,,,,,,,,,,
lerci,TRUE,,@1《こと》は@2〈基準〉において時期［時刻］的に遅い,時期、時刻,@1 (event) is late by standard @2.,,,,,,,-lec-,,「masno／遅い（速度）」と異なる。 ,,,,,,,,,,,,
lerfu,TRUE,,@1は@2〈文字体系〉において@3を表す字［文字、数字］である,字、文字、数字,@1 (la'e zo BY/word-bu) is a letter/digit/symbol in alphabet/character-set @2 representing @3.,,,,,,,-ler-   ,-le'u-,x1は「la'e zo ...」「... bu」。 ,,,,,,,,,,,,
libjo,TRUE,地域,@1は@2《属性》に関してリビア的［らしい、っぽい、風］；@1は@2《属性》に関してリビア系の言語［文化、民族、国民性、地理など］を反映している、満たしている,リビア,@1 reflects Libyan culture/nationality in aspect @2.,,,,,,,-lib-,,,,,,,,,DC,D,C,-,-,-
lidne,TRUE,,@1は@2を@3〈序列〉において先行する［先立つ、率先する］；@2は@1に続く；@1は前者である；@2は後者である,先行、先立つ、率先,@1 precedes/leads @2 in sequence @3; @1 is former/preceding/previous; @2 is latter/following.,,,,,,,-li'e-,,,,,,,,,,,,,,
lifri,TRUE,,@1《もの・こと》は@2《こと》を経験する； @2に@1は見舞われる； @2は経験的［実験上、実証可能］である,経験、見舞われる、経験上、実験上、実証可能,@1 [person/passive/state] undergoes/experiences @2 (event/experience); @2 happens to @1.,,,,,,,-lif-   ,-fri-,,,,,,実験上古いふり経験する,,(D+F)F,もの・こと,こと,-,-,-
lijda,TRUE,,@1は@2〈信者〉@3〈信条・教条・教理・慣行・ドグマ〉の宗教［ミュトス］である,宗教、ミュトス,@1 is a religion of believers including @2 sharing common beliefs/practices/tenets including @3.,,,,,,,-jda-,,,,,,,,,,,,,,
limfa,FALSE,,@1is a lymph of body x/2,,@1 is a lymph of body @2,,,,,,,,,See also {ciblu},,,,,,,,,,,,
limna,TRUE,,@1は@2（液体）中を泳ぐ［水泳する］,泳ぐ、水泳,@1 (agent) swims in fluid @2.,,,,,,,-lim-,,,,,,,,,,,,,,
lince,FALSE,,@1is a lynx of species x/2,,@1 is a lynx of species @2,,,,,,,,,,,,,,,,,,,,,
lindi,TRUE,,@1は@2〈終点〉@3〈起点〉の雷［稲妻］である,雷、稲妻,@1 is lightning/electrical arc/thunderbolt striking at/extending to @2 from @3.,,,,,,,-lid-,,,,,,,,,,,,,,
linga,FALSE,,"@1is the ISO-named language of people@2with ISO-name x/1, according to rule/specification x/3",,"@1 is the ISO-named language of people @2 with ISO-name @1, according to rule/specification @3",,,,,,,,,"gismu version of {lingua}. See also: {jviso}, {lengua}, {bangu}.",,,,,,,,,,,,
linji,TRUE,,@1は@2〈点集合〉の間の線である,線,@1 is a line/among lines [1-dimensional shape/form] defined by set of points @2.,,,,,,,-lij-   ,-li'i-,,,,,,,,,,,,,
linsi,TRUE,,@1は@2〈素材〉@3〈特性〉の鎖［チェーン］である,鎖、チェーン,@1 is a length of chain/links of material @2 with link properties @3.,,,,,,,-lin-,,,,,,,,,,,,,,
linto,TRUE,,@1は@2〈基準〉において軽い［軽量である］,軽い、軽量,@1 is light in mass/weight by standard @2.,,,,,,,-li'o-,,,,,,,,,,,,,,
lisri,TRUE,,@1は@2〈題目・筋書・教訓〉の@3〈作者〉から@4〈聴者〉への物語［説話］である,物語、説話,@1 is a story/tale/yarn/narrative about plot/subject/moral @2 by storyteller @3 to audience @4.,,,,,,,-lis-,,「伝説」なども。x3は話者も。 ,,,,,,,,,,,,
liste,TRUE,,@1は@2《集合》を@3（序列）で@4〈媒体〉に表した目録［カタログ、リスト、一覧、名簿、ログ］である,目録、カタログ、リスト、一覧、名簿、ログ,@1 (physical object) is a list/catalog/register of sequence/set @2 in order @3 in medium @4.,,,,,,,-ste-,,,,,,,,,,,,,,
litce,TRUE,単位,@1は@3〈基準〉で@2《数》リットルある,リットル、L、㍑,@1 is @2 liter(s) [metric unit] in volume (default is 1) by standard @3.,,,,,,,-lic-,,,,,,,,,,,,,,
litki,TRUE,,@1は@2〈成分・物質〉の@3〈条件〉における液体［流動体］である,液体、流動体,"@1 is liquid/fluid, of composition/material including @2, under conditions @3.",,,,,,,-lik-,,x3は温度や圧力など。 ,,,,,,,,,,,,
litru,TRUE,,@1は@2〈経路〉を@3〈方法〉で旅する；@1は旅人である,旅,@1 travels/journeys/goes/moves via route @2 using means/vehicle @3; @1 is a traveller.,旅人,,,,,,-li'u-,,,,,,,,,,,,,,
livga,TRUE,身体、部位,@1は@2〈本体〉の肝臓である,肝臓,@1 is a/the liver [body-part] of @2.,,,,,,,,,,,,,,,,DD,もの,もの,-,-,-
livla,TRUE,,@1は@2のための燃料である,燃料,@1 is a fuel/energy-source for powering @2.,,,,,,,-lil-,,比喩的に「餌」「ごはん」も。 ,,,,,,,,,,,,
logji,TRUE,,@1〈原理・法則〉は@2《命題》を演繹［結論、推察］するところの論理である；@2は論理的である,論理,@1 [rules/methods] is a logic for deducing/concluding/inferring/reasoning to/about @2 (du'u).,,,,,,,-loj-,,,,,,,,,,,,,,
loglo,FALSE,,@1pertains to Loglan language/culture in aspect x/2,,@1 pertains to Loglan language/culture in aspect @2,,,,,,,,,,,,,,,,,,,,,
lojbo,TRUE,地域,@1は@2《属性》に関してロジバン的［らしい、っぽい、風］；@1は@2《属性》に関してロジバン系の文化［民族など］を反映している、満たしている,ロジバン,@1 reflects [Loglandic]/Lojbanic language/culture/nationality/community in aspect @2.,,,,,,,-lob-   ,-jbo-,,,,,,,,DC,D,C,-,-,-
loldi,TRUE,,@1は@2の床［底面］である,床、底面,@1 is a floor/bottom/ground of @2.,,,,,,,-lol-   ,-loi-,,,,,,,,,,,,,
lorxu,TRUE,生物、動物,@1は@2〈種類〉のキツネ属の動物,キツネ,@1 is a fox [bushy-tailed wild dog/canine] of species/breed @2.,,,,,,,-lor-   ,-lo'u-,,,,,,,,,,,,,
lubno,TRUE,地域,@1は@2《属性》に関してレバノン的［らしい、っぽい、風］；@1は@2《属性》に関してレバノン系の言語［文化、民族、国民性、地理など］を反映している、満たしている,レバノン,@1 reflects Lebanese culture/nationality in aspect @2.,,,,,,,-lu'o-,,,,,,,,,DC,D,C,-,-,-
lujvo,TRUE,,@1《文字列》は@2（意味）・@3〈項〉を有する、@4〈形態素〉から作られた合成語・複合語,,@1 (text) is a compound predicate word with meaning @2 and arguments @3 built from metaphor @4.,,,,,,,-luv-   ,-jvo-,,,,,,,,,,,,,
luksi,FALSE,,@1is electric [adjective] producing electric field x/2.,,@1 is electric [adjective] producing electric field @2.,,,,,,,,,"Proposed rafsi -luk-. See also {maksi}, {dikca}.",,,,,,,,,,,,
lumci,TRUE,,@1は@2の@3〈汚れ〉を@4〈洗浄剤・用具〉で洗う,洗う,@1 (agent) washes/cleanses @2 of soil/contaminant @3 in/with cleaning material(s) @4.,,,,,,,-lum-   ,-lu'i-,,,,,,,,,,,,,
lunbe,TRUE,,@1は裸［裸体である］である,裸、裸体、すっぽんぽん,@1 is bare/naked/nude; @1 is without cover/clothes/[protection].,,,,,,,-lub-,,,,,,,,,D,もの,-,-,-,-
lunra,TRUE,,@1は地球の月である；@1は@2の主要衛星である,月、衛星,@1 is Earth's moon (default); @1 is a major natural satellite/moon of planet @2.,,,,,,,-lur-,,「mluni」の狭義。 ,,,,,,,D,もの,-,-,-,-
lunsa,TRUE,,@1は@2の表面［中］で@3〈温度〉@4〈圧力〉の条件下で凝結［液化］する,凝結、液化,"@1 condenses/liquefies on/into @2 at temperature @3, pressure @4; @1 is dew/condensate on @2.",,,,,,,-lus-,,,,,,,,,,,,,,
luska,FALSE,,@1is a mollusc of species x/2,,@1 is a mollusc of species @2,,,,,,,,,"x1 is a soft-bodied invertebrate of the phylum Mollusca, typically with a hard shell of one or more pieces.",,,,,,,,,,,,
lusto,FALSE,,@1is/reflects/pertain to Middle Eastern/Near Eastern culture/geography/region/language/society/religion in aspect x/2,,@1 is/reflects/pertain to Middle Eastern/Near Eastern culture/geography/region/language/society/religion in aspect @2,,,,,,,,,"For race: {lustytutle}. See also {xrabo}, {alcamacrike}",,,,,,,,,,,,
mabla,TRUE,,@1は@2《属性》において@3〈基準〉で不愉快だ［クソみたいだ、くだらない、実にひどい、嘆かわしい、まったくいやだ、あさましい、ひどくみすぼらしい、粗末だ、粗悪だ、卑劣だ、劣っている］；@1は@2の点で@3にとってむかつく［嫌気がさす、実に不愉快だ］,不愉快、ファッキン、シット、ガッデム、クソ野郎、クソ、くだらない、嘆かわしい、粗末、粗悪、嫌気、浅ましい、酷い、馬鹿,@1 is execrable/deplorable/wretched/shitty/awful/rotten/miserable/contemptible/crappy/inferior/low-quality in property @2 by standard @3; @1 stinks/sucks in aspect @2 according to @3.,,,,,,,-mal-,,「ファッキン」「シット」「ガッデム」「クソ野郎」「クソ」など； 「クソ英語／malglico」；,,,,,,,,,,,,
mabru,TRUE,生物、動物,@1は@2〈種類〉の哺乳類である,哺乳類,@1 is a mammal/'animal'/beast of species @2.,,,,,,,-mab-,,,,,,,マーブル哺乳類,2,DD,もの,もの,-,-,-
macnu,TRUE,,@1《こと》は@2〈機能〉に関して手動［マニュアル］である,手動、マニュアル,@1 (event/action/process) is manual [not automatic] in function @2 under conditions @3.,,,,,,,-cnu-,,,,,,,,,,,,,,
majga,FALSE,,@1(number/quantity; contextless default: li ma'u .a  li no) is the (rest/inertial) mass of@2(object) in units x/3,,@1 (number/quantity; contextless default: li ma'u .a  li no) is the (rest/inertial) mass of @2 (object) in units @3,,,,,,,,,"See also: {grake}, {junta}, {nonmajga}.",,,,,,,,,,,,
makcu,TRUE,,@1は@2《属性》に関して成熟している；@1は成人［大人］である,成人、大人,@1 is mature/ripe/fully-grown/adult in development-quality @2 (ka).,,,,,,,-ma'u-,,「lo cmana rutrkaki po le cmana malsi zo'u za'o makcu／山寺の山柿のうれたまゝ」（山頭火『行乞記（二）』） ,,,,,,,DC,もの,属性,-,-,-
makfa,TRUE,,@1は@2〈観点〉にとって@3〈者〉が掛ける魔法［妖術、超自然的力］である,魔法、妖術、超自然的力,"@1 is magic/supernatural/sorcery/witchcraft/wizardry to @2, performed by person/force/deity @3.",,,,,,,-maf-,,,,,,,,,,,,,,
maksi,TRUE,,@1は@2〈磁界〉を形成する磁力［磁石］である,磁力、磁石,@1 is magnetic [adjective] producing magnetic field @2.,,,,,,,-mak-,,,,,,,,,,,,,,
malsi,TRUE,,@1は@2〈宗教体系〉@3〈所〉の寺［寺院、神社、教会、モスク、シナゴーグ］である,寺、寺院、神社、教会、モスク、シナゴーグ,@1 is a temple/church/sanctuary/synagogue/shrine of religion @2 at location/serving area @3.,,,,,,,-mas-,,礼拝地全般。 x2 は事も可能。 ,,,,,,,,,,,,
mamta,TRUE,,@1は@2の母親；@1は母性的,母親,@1 is a mother of @2; @1 bears/mothers/acts maternally toward @2; [not necessarily biological].,,,,,,,-mam-,,肉親とは限らない。 ,,,,,,,,,,,,
manci,TRUE,,@1は@2に畏敬の念を感じる［驚嘆する］；@1は@2を摩訶不思議に思う,畏敬,@1 feels wonder/awe/marvels about @2.,,,,,,,-mac-,,,,,,,,,,,,,,
manfo,TRUE,,@1《もの・こと》は@2《属性》の点で均一［一様、同形、相同］である；@1にはむらが無い,均一、一様、同形、相同,@1 (object/event) is uniform/homogeneous in property @2 (ka).,,,,,,,,,,,,,,,,,,,,,
mango,FALSE,,@1is a mango [fruit] of species/variety x/2.,,@1 is a mango [fruit] of species/variety @2.,,,,,,,,,{rutrmango} is the non-experimental synonym of “mango”. {ricrmango} for “mango tree”.,,,,,,,,,,,,
manku,TRUE,,@1は暗い［闇］である,暗い、闇,@1 is dark/lacking in illumination.,,,,,,,-man-,,,,,,,,,,,,,,
manri,TRUE,,@1は@2《こと》を@3〈規則〉で観察［計測、審判］する際の観点［標準、基準］である,観点、標準、基準,"@1 is a frame of reference/standard for observing/measuring/determining @2, with/by rules @3.",,,,,,,-mar-,,x1 にはモノも概念(si'o)も入りうる。 ,,,,,,,,,,,,
mansa,TRUE,,@1は@2〈者〉を@3《属性》に関して満足させる；@2は @1に満足している,満足,@1 satisfies evaluator @2 in property (ka)/state @3.,,,,,,,,,,,,,,,,,,,,,
manti,TRUE,生物、動物,@1は@2〈種類〉のアリ科の昆虫である,アリ、アリ科,@1 is an ant of species/breed @2.,,,,,,,,,,,,,,,2,DD,もの,もの,-,-,-
mapku,TRUE,もの、@2が素材,@1は@2〈素材〉の帽子［冠、兜、ヘルメット］である,帽子、冠、兜、ヘルメット,@1 is a cap/hat/crown/helmet/piece of headgear [head-top garment] of material @2.,,,,,,,-map-,,頭に被るもの全般。 ,,,,,,,DD,もの,もの,-,-,-
mapni,TRUE,,@1は綿［コットン］である,綿、コットン,@1 is a quantity of/contains/is made of cotton [type of fabric/material].,,,,,,,,,,,,,,,,D,もの,-,-,-,-
mapra,FALSE,,@1is a quantity of fluff of composition/structure/characterization/substance x/2; @1is fluffy/airy/soft/fuzzy in texture,,@1 is a quantity of fluff of composition/structure/characterization/substance @2; @1 is fluffy/airy/soft/fuzzy in texture,,,,,,,,,"Visual and tactile. Most likely is malleable, but this word has no such implications inherently; porousness or foaminess is likewise not implied. Might also include ""cushiony"", ""cotton-like"", ""wool-like""; a fractal nature might be present.  For fuzziness: not necessarily hairy or furry, but must be soft; not bristly (which implies stiffness and hardness).  See also: {ranti}, {rufsu}, {xutla}, {panje}, {dilnu}, {mapni}, {sunla}, {fonmo}, {jduli}, {pesxu}, {marji}.",,,,,,,,,,,,
